time,x,y,z
10536,-0.06290,9.79140,-0.10542
10586,-0.08691,9.78679,-0.12932
10636,-0.08212,9.78675,-0.12454
10685,-0.07742,9.77715,-0.12932
10735,-0.08197,9.80114,-0.11499
10785,-0.07252,9.78672,-0.11021
10836,-0.07736,9.78197,-0.11499
10886,-0.08691,9.78680,-0.12932
10936,-0.06300,9.78181,-0.11975
10985,-0.07249,9.79147,-0.11976
11036,-0.07733,9.78672,-0.12454
11085,-0.07253,9.78669,-0.11976
11135,-0.07253,9.78669,-0.11976
11190,-0.07249,9.79148,-0.11498
11236,-0.07244,9.79626,-0.11498
11285,-0.07244,9.79626,-0.11020
11335,-0.08215,9.78200,-0.11499
11385,-0.08207,9.79155,-0.11976
11436,-0.08681,9.79639,-0.11499
11485,-0.08690,9.78682,-0.11977
11535,-0.08215,9.78201,-0.11499
11586,-0.08682,9.79637,-0.12455
11636,-0.08216,9.78199,-0.12454
11685,-0.08211,9.78678,-0.11499
11735,-0.07249,9.79147,-0.11498
11786,-0.06766,9.79619,-0.11976
11836,-0.08694,9.78206,-0.11021
11886,-0.08207,9.79156,-0.11977
11935,-0.07253,9.78669,-0.11976
11986,-0.08202,9.79634,-0.11977
12035,-0.07744,9.77242,-0.11021
12086,-0.07727,9.79154,-0.10543
12135,-0.08211,9.78677,-0.11976
12188,-0.07725,9.79158,-0.09110
12235,-0.07252,9.78671,-0.10543
12286,-0.07734,9.78202,-0.09588
12335,-0.07256,9.78195,-0.10543
12385,-0.07257,9.78192,-0.11498
12435,-0.07253,9.78670,-0.11498
12485,-0.07253,9.78670,-0.11976
12536,-0.09167,9.78692,-0.10544
12585,-0.08202,9.79636,-0.11499
12636,-0.08197,9.80115,-0.11021
12685,-0.08696,9.78201,-0.12932
12736,-0.07240,9.80103,-0.11498
12785,-0.07729,9.79149,-0.12454
12835,-0.06752,9.81055,-0.11020
12885,-0.06286,9.79618,-0.11498
12935,-0.07717,9.80112,-0.10543
12985,-0.08693,9.78208,-0.11022
13035,-0.06295,9.78662,-0.11498
13086,-0.06295,9.78661,-0.11498
13136,-0.07737,9.78195,-0.11976
13188,-0.06770,9.79142,-0.11976
13235,-0.08202,9.79635,-0.11499
13286,-0.09159,9.79646,-0.11500
13335,-0.08206,9.79159,-0.11499
13386,-1.00957,10.46552,0.09465
13435,1.17995,8.54943,-0.68750
13486,0.04682,9.74261,-0.08625
13535,-0.08207,9.79155,-0.12932
13586,-0.06766,9.79620,-0.12454
13635,-0.09165,9.79165,-0.12455
13685,-0.07245,9.79623,-0.12454
13736,-0.07737,9.78195,-0.11976
13786,-0.09168,9.78689,-0.11022
13836,-0.07729,9.79148,-0.12932
13885,-0.07723,9.79631,-0.11499
13936,-0.08215,9.78202,-0.11499
13986,-0.08215,9.78200,-0.11977
14035,-0.08697,9.77732,-0.10066
14085,-0.09169,9.78688,-0.12455
14136,-0.07248,9.79150,-0.11499
14190,-0.08686,9.79160,-0.12933
14235,-0.07248,9.79150,-0.11499
14285,-0.07249,9.79148,-0.11976
14336,-0.09168,9.78688,-0.11977
14386,-0.07727,9.79154,-0.11499
14436,-0.07724,9.79628,-0.12932
14486,-0.07740,9.77720,-0.11021
14536,-0.07732,9.78674,-0.11499
14585,-0.08205,9.79159,-0.10543
14635,-0.08215,9.78201,-0.11499
14686,-0.07719,9.80109,-0.12932
14735,-0.07730,9.78679,-0.11499
14785,-0.07238,9.80111,-0.10543
14835,-0.08195,9.80120,-0.10544
14886,-0.07714,9.80587,-0.11976
14936,-0.08198,9.80113,-0.12454
14985,-0.06298,9.78187,-0.10543
15036,-0.09656,9.77737,-0.11978
15085,-0.08192,9.80595,-0.11499
15136,-0.08685,9.79164,-0.12455
15190,-0.08209,9.78685,-0.11022
15235,-0.07739,9.77723,-0.11499
15285,-0.08205,9.79160,-0.11499
15336,-0.06766,9.79620,-0.12932
15385,-0.08204,9.79162,-0.10544
15436,-0.07266,9.77236,-0.12454
15485,-0.07727,9.79155,-0.11977
15535,-0.07253,9.78670,-0.12932
15586,-0.07734,9.78201,-0.11021
15636,-0.08196,9.80118,-0.11022
15685,-0.08207,9.79155,-0.13410
15735,-0.07248,9.79150,-0.11499
15785,-0.06778,9.78188,-0.11976
15836,-0.07732,9.78676,-0.11977
15886,-0.09156,9.80122,-0.11977
15935,-0.06300,9.78182,-0.11976
15986,-0.07736,9.78197,-0.11499
16036,-0.06766,9.79620,-0.11976
16085,-0.07715,9.80586,-0.11976
16135,-0.07723,9.79631,-0.11499
16188,-0.07242,9.79631,-0.09588
16235,-0.08698,9.77727,-0.11977
16286,-0.07726,9.79157,-0.11977
16336,-0.08211,9.78679,-0.13888
16386,-0.07721,9.79637,-0.11022
16435,-0.09160,9.79176,-0.09589
16485,-0.08206,9.79159,-0.12455
16536,-0.08210,9.78681,-0.12455
16586,-0.06781,9.77714,-0.11499
16636,-0.08680,9.79643,-0.11977
16686,-0.07744,9.77243,-0.11021
16736,-0.07723,9.79632,-0.11499
16786,-0.08212,9.78676,-0.13410
16836,-0.08201,9.79637,-0.11499
16886,-0.07261,9.77717,-0.12454
16936,-0.09154,9.80128,-0.11500
16986,-0.06767,9.79151,-0.10543
17035,-0.08698,9.77728,-0.13411
17086,-0.08213,9.78206,-0.10066
17136,-0.07715,9.80584,-0.12932
17190,-0.07258,9.78189,-0.12932
17237,-0.07243,9.79628,-0.11021
17285,-0.07257,9.78192,-0.12454
17337,-0.07727,9.79155,-0.11499
17386,-0.07253,9.78670,-0.12454
17436,-0.07242,9.79632,-0.10065
17486,-0.07721,9.79635,-0.11021
17537,-0.08209,9.78683,-0.11499
17585,-0.08697,9.77730,-0.11977
17636,-0.07718,9.80112,-0.11499
17686,-0.08203,9.79634,-0.12454
17736,-0.06770,9.79142,-0.12454
17786,-0.07720,9.80106,-0.12932
17836,-0.06287,9.79616,-0.11976
17886,-0.06757,9.80577,-0.12932
17935,-0.07737,9.78195,-0.13410
17985,-0.08191,9.80597,-0.10066
18036,-0.07240,9.80104,-0.12454
18085,-0.08216,9.77731,-0.10544
18136,-0.07251,9.78676,-0.11499
18190,-0.07238,9.80111,-0.11021
18236,-0.08205,9.79161,-0.12455
18286,-0.08694,9.78206,-0.11977
18336,-0.08685,9.79163,-0.11499
18385,-0.07253,9.78670,-0.11976
18435,-0.06766,9.79621,-0.12454
18485,-0.07714,9.80589,-0.12455
18535,-0.07730,9.78679,-0.11499
18586,-0.07726,9.79157,-0.11499
18636,-0.07713,9.80590,-0.11977
18685,-0.08211,9.78678,-0.12932
18735,-0.06285,9.79622,-0.10543
18786,-0.07722,9.79633,-0.11499
18836,-0.07727,9.79154,-0.11977
18886,-0.07256,9.78195,-0.11977
18936,-0.08199,9.79645,-0.09589
18986,-0.07243,9.79629,-0.11977
19035,-0.08196,9.80118,-0.11500
19086,-0.07712,9.80594,-0.11500
19136,-0.08200,9.79640,-0.12455
19186,-0.07259,9.77723,-0.11022
19241,-0.07736,9.78199,-0.13411
19286,-0.06301,9.77713,-0.11499
19336,-0.08209,9.78685,-0.12455
19386,-0.07256,9.78198,-0.12455
19436,-0.08686,9.78693,-0.11023
19486,-0.07239,9.80108,-0.11499
19536,-0.07728,9.79152,-0.13410
19585,-0.06771,9.78674,-0.09588
19635,-0.08197,9.80115,-0.12455
19686,-0.05798,9.80572,-0.12454
19736,-0.09167,9.78694,-0.11978
19785,-0.09640,9.79179,-0.11023
19835,-0.09168,9.78691,-0.12933
19885,-0.06772,9.78672,-0.10543
19936,-0.07252,9.78672,-0.12454
19986,-0.08679,9.79646,-0.11022
20035,-0.05327,9.79613,-0.11020
20085,-0.07717,9.80114,-0.13411
20136,-0.07729,9.78683,-0.11978
20186,-0.07733,9.78207,-0.11500
20242,-0.07251,9.78678,-0.12455
20286,-0.06773,9.78668,-0.11976
20336,-0.06773,9.78668,-0.11976
20386,-0.08679,9.79646,-0.10544
20436,-0.09155,9.80124,-0.12455
20486,-0.06285,9.79622,-0.12932
20536,-0.06785,9.77239,-0.11977
20585,-0.07725,9.79162,-0.11500
20636,-0.08208,9.78687,-0.11978
20685,-0.09162,9.79173,-0.11978
20737,-0.08678,9.79648,-0.11500
20786,-0.06772,9.78671,-0.12455
20836,-0.08692,9.78211,-0.12456
20885,-0.06754,9.80585,-0.10543
20936,-0.07238,9.80109,-0.11499
20986,-0.08683,9.79168,-0.11022
21035,-0.06790,9.76759,-0.11499
21085,-0.07245,9.79157,-0.10066
21136,-0.07730,9.78681,-0.11499
21185,-0.07743,9.77246,-0.11499
21241,-0.06771,9.79142,-0.14365
21285,-0.08205,9.79161,-0.12455
21335,-0.07243,9.79630,-0.12455
21386,-0.08682,9.79171,-0.10545
21435,-0.07735,9.78202,-0.11977
21486,-0.06777,9.78193,-0.13410
21535,-0.08209,9.78686,-0.12934
21585,-0.07241,9.79635,-0.11978
21636,-0.08216,9.77734,-0.11500
21685,-0.08199,9.79645,-0.11022
21735,-0.07251,9.78676,-0.12455
21786,-0.08689,9.78687,-0.13411
21836,-0.08208,9.78688,-0.11500
21885,-0.08222,9.77251,-0.11978
21935,-0.07713,9.80593,-0.11977
21986,-0.07730,9.78680,-0.12455
22035,-0.07255,9.78199,-0.11499
22086,-0.07250,9.78680,-0.11022
22136,-0.06776,9.78194,-0.12455
22185,-0.07251,9.78677,-0.12455
22235,-0.09165,9.78699,-0.11023
22289,-0.07728,9.78687,-0.11022
22336,-0.08696,9.77737,-0.12456
22385,-0.06767,9.79152,-0.12455
22436,-0.07723,9.79166,-0.10545
22485,-0.06289,9.79143,-0.11498
22536,-0.07731,9.78677,-0.12455
22585,-0.08209,9.78685,-0.11022
22636,-0.08685,9.79163,-0.12933
22685,-0.07721,9.79638,-0.11500
22736,-0.08222,9.77250,-0.12455
22786,-0.07246,9.79156,-0.11499
22835,-0.07733,9.78205,-0.11022
22886,-0.08213,9.78209,-0.12934
22935,-0.08215,9.77736,-0.11023
22985,-0.07738,9.77728,-0.12456
23036,-0.08202,9.79170,-0.11023
23085,-0.08193,9.80593,-0.13411
23136,-0.07251,9.78675,-0.11977
23185,-0.09649,9.78222,-0.11501
23236,-0.07727,9.79156,-0.12933
23289,-0.07726,9.79158,-0.11977
23335,-0.07731,9.78679,-0.12455
23386,-0.09150,9.80604,-0.12456
23436,-0.07718,9.80113,-0.12455
23486,-0.08683,9.79170,-0.12456
23536,-0.07248,9.78685,-0.09589
23585,-0.07729,9.78683,-0.12455
23636,-0.07250,9.78680,-0.11500
23685,-0.08204,9.79164,-0.11978
23736,-0.08214,9.78205,-0.12933
23785,-0.07735,9.78202,-0.12455
23836,-0.07744,9.77245,-0.12933
23885,-0.07725,9.79161,-0.11978
23935,-0.04846,9.79615,-0.10543
23985,-0.08204,9.79166,-0.11978
24035,-0.08200,9.79643,-0.12456
24085,-0.06767,9.79152,-0.11499
24137,-0.08196,9.80120,-0.12456
24186,-0.07720,9.79639,-0.11500
24235,-0.08212,9.78210,-0.11500
24290,-0.08679,9.79645,-0.12934
24336,-0.07724,9.79162,-0.11500
24385,-0.07245,9.79158,-0.11022
24435,-0.06771,9.78675,-0.11499
24486,-0.08195,9.80121,-0.12456
24536,-0.08682,9.79172,-0.11501
24586,-0.07242,9.79635,-0.11977
24636,-0.07729,9.78683,-0.11978
24686,-0.08208,9.78688,-0.11500
24736,-0.08676,9.80122,-0.13411
24786,-0.06760,9.80104,-0.12932
24836,-0.08208,9.78688,-0.11500
24886,-0.08200,9.79643,-0.11978
24936,-0.08195,9.80122,-0.11500
24985,-0.07249,9.78681,-0.10544
25036,-0.06759,9.80106,-0.12455
25085,-0.09153,9.80130,-0.12934
25135,-0.08682,9.79171,-0.12456
25186,-0.07720,9.79641,-0.11978
25236,-0.07727,9.78690,-0.10067
25286,-0.06767,9.79151,-0.12933
25340,-0.06765,9.79157,-0.10544
25385,-0.08212,9.78211,-0.11978
25436,-0.06776,9.78197,-0.12455
25486,-0.08212,9.78210,-0.11500
25535,-0.06768,9.79149,-0.12455
25586,-0.10589,9.80145,-0.11501
25636,-0.07237,9.80113,-0.11499
25686,-0.06768,9.78682,-0.10545
25736,-0.07243,9.79164,-0.11023
25785,-0.08678,9.79650,-0.13412
25835,-0.07737,9.77731,-0.12456
25886,-0.07733,9.78206,-0.11500
25936,-0.06769,9.79146,-0.13888
25985,-0.08688,9.78690,-0.12456
26036,-0.07733,9.78206,-0.11500
26085,-0.08193,9.80128,-0.11023
26136,-0.07245,9.79160,-0.11978
26185,-0.09155,9.79658,-0.11501
26235,-0.09164,9.78703,-0.11024
26286,-0.08191,9.80598,-0.12456
26336,-0.07725,9.79162,-0.11500
26389,-0.08203,9.79166,-0.11500
26435,-0.07260,9.77721,-0.12455
26486,-0.08202,9.79169,-0.10545
26536,-0.07240,9.79638,-0.10544
26586,-0.07237,9.80114,-0.11500
26635,-0.06766,9.79154,-0.11022
26685,-0.07241,9.79636,-0.11022
26736,-0.06775,9.78197,-0.11022
26785,-0.07254,9.78202,-0.11022
26836,-0.07251,9.78677,-0.11977
26885,-0.07719,9.79644,-0.11500
26936,-0.08206,9.78693,-0.11023
26986,-0.07727,9.78690,-0.10545
27035,-0.07732,9.78211,-0.11023
27085,-0.08682,9.79172,-0.11501
27136,-0.08200,9.79643,-0.12456
27186,-0.07251,9.78677,-0.12455
27236,-0.07726,9.79159,-0.12933
27286,-0.07722,9.79170,-0.10545
27335,-0.06287,9.79152,-0.12455
